,Cluster,Total_distance,Connections_diff,Weight_diff,Unit_diff
2,2,6.522120496781935,1.3404255319148888,0.636634430345703,6.351063829787268
5,5,6.635787872361044,0.8773584905659995,0.16460471839404178,6.57547169811323
7,7,7.1631117040722385,2.224,0.816329152374295,6.760000000000041
9,9,7.217286172979193,1.4949494949494753,0.04677357331337362,7.06060606060602
1,1,7.62599898341839,0.3629032258064595,0.2605114552262737,7.612903225806399
8,8,7.643374967632001,2.4392523364485914,0.3815900641444365,7.2336448598130545
4,4,7.724784721059388,1.120370370370365,0.2538617007716333,7.638888888888886
3,3,8.572892391069644,0.6435643564356446,0.7600085880105425,8.514851485148498
0,0,45.08174045440892,2.5151515151515067,1.0184965657874825,45.0
6,6,45.124002911842176,3.342857142857153,0.03073939475795129,45.0
